"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.219547580E-1,-3.275175989E-1,-3.113660514E-1,9.635597229E0,9.646188395E0
2.244004350E-1,-2.988037169E-1,-3.113660514E-1,9.683454514E0,9.693065758E0
2.268468930E-1,-3.083750308E-1,-3.041875660E-1,9.721739769E0,9.731384761E0
2.292942370E-1,-2.769692242E-1,-2.946162820E-1,9.743274689E0,9.751662031E0
2.317406430E-1,-2.844468057E-1,-3.065803945E-1,9.795916557E0,9.804839760E0
2.341863200E-1,-2.769692242E-1,-3.041875660E-1,9.846165657E0,9.854756221E0
2.366327780E-1,-2.769692242E-1,-2.994019389E-1,9.877272606E0,9.885690042E0
2.390801220E-1,-2.697907388E-1,-3.017947674E-1,9.929914474E0,9.938162234E0
2.415265280E-1,-3.011965454E-1,-3.017947674E-1,9.980463028E0,9.989566642E0
2.439722050E-1,-3.299104273E-1,-2.970091105E-1,1.001635551E1,1.002618737E1
2.464187680E-1,-3.323032558E-1,-2.635096014E-1,1.004506969E1,1.005401850E1
2.488660080E-1,-3.179463148E-1,-2.587239444E-1,1.006421185E1,1.007255618E1
2.513124140E-1,-3.323032558E-1,-2.156531364E-1,1.008814049E1,1.009591552E1
2.537581430E-1,-3.442673683E-1,-2.036890239E-1,1.009531879E1,1.010324061E1
2.562046010E-1,-3.107678294E-1,-1.941177398E-1,1.009531879E1,1.010196614E1
2.586518930E-1,-3.107678294E-1,-1.941177398E-1,1.005942631E1,1.006609736E1
2.610983510E-1,-2.820539773E-1,-1.606182158E-1,1.002353382E1,1.002878771E1
2.635440280E-1,-2.578266263E-1,-1.534397453E-1,9.978070259E0,9.982580048E0
2.659904870E-1,-2.578266263E-1,-1.462612897E-1,9.927521706E0,9.931946141E0
2.684378300E-1,-2.267199457E-1,-1.319043487E-1,9.860523224E0,9.864011301E0
2.708842370E-1,-2.243271172E-1,-1.414756328E-1,9.822237968E0,9.825817865E0
2.733299140E-1,-2.147558331E-1,-1.319043487E-1,9.762416840E0,9.765669530E0
2.757763720E-1,-2.219343036E-1,-1.366899908E-1,9.707382202E0,9.710880918E0
2.782237160E-1,-2.291127741E-1,-9.601201117E-2,9.657133102E0,9.660327672E0
2.806701220E-1,-2.219343036E-1,-1.151545867E-1,9.585348129E0,9.588608563E0
2.831157990E-1,-2.243271172E-1,-8.404789865E-2,9.539884567E0,9.542891819E0
2.855623620E-1,-2.338984162E-1,-8.883354068E-2,9.477671623E0,9.480973540E0
2.880096010E-1,-2.554338276E-1,-9.601201117E-2,9.422636032E0,9.426586579E0
2.904560080E-1,-2.916252613E-1,-1.127617657E-1,9.376873970E0,9.382085374E0
2.929017370E-1,-3.011965454E-1,-1.151545867E-1,9.336195946E0,9.341762932E0
2.953481950E-1,-3.275175989E-1,-1.342971772E-1,9.309874535E0,9.316601707E0
2.977954870E-1,-3.394817114E-1,-1.558325738E-1,9.264410973E0,9.271938432E0
3.002419450E-1,-3.586242795E-1,-1.606182158E-1,9.264410973E0,9.272740709E0
3.026876220E-1,-3.514458239E-1,-1.989033818E-1,9.264410973E0,9.273208042E0
3.051340800E-1,-3.562314808E-1,-2.108674943E-1,9.216554642E0,9.225846597E0
3.075814240E-1,-3.442673683E-1,-2.419741899E-1,9.254839897E0,9.264401387E0
3.100278300E-1,-3.610171080E-1,-2.419741899E-1,9.273982048E0,9.284160053E0
3.124735080E-1,-3.586242795E-1,-2.347957194E-1,9.288339615E0,9.298225272E0
3.149199660E-1,-3.538386524E-1,-2.515454888E-1,9.333803177E0,9.343894192E0
3.173673100E-1,-3.323032558E-1,-2.467598319E-1,9.338588715E0,9.347756685E0
3.198137160E-1,-3.418745399E-1,-2.419741899E-1,9.369695663E0,9.379052539E0
3.222593930E-1,-3.466601670E-1,-2.395813614E-1,9.389137268E0,9.398588784E0
3.247059550E-1,-3.442673683E-1,-2.419741899E-1,9.415457726E0,9.424856270E0
3.271531950E-1,-3.155534863E-1,-2.347957194E-1,9.460921288E0,9.469093655E0
3.295996010E-1,-2.868396044E-1,-2.300100774E-1,9.511171341E0,9.518275152E0
3.320452780E-1,-2.506481707E-1,-2.395813614E-1,9.563813210E0,9.570096491E0
3.344918410E-1,-2.195414752E-1,-2.371885478E-1,9.609276772E0,9.614710445E0
3.369390800E-1,-1.668993831E-1,-2.467598319E-1,9.647562027E0,9.652160322E0
3.393855390E-1,-1.333998591E-1,-2.467598319E-1,9.697811127E0,9.701867170E0
3.418312160E-1,-8.793623000E-2,-2.587239444E-1,9.721739769E0,9.725579417E0
3.442776740E-1,-4.725824669E-2,-2.563311160E-1,9.769596100E0,9.773072543E0
3.467250180E-1,-3.529413417E-2,-3.041875660E-1,9.779167175E0,9.783960670E0
3.491714240E-1,-4.007977992E-2,-2.802593410E-1,9.795916557E0,9.800006780E0
3.516171010E-1,-2.572284266E-2,-2.946162820E-1,9.819845200E0,9.824297439E0
