"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.123994860E-1,-1.070788130E-1,-5.676971674E-1,9.760024071E0,9.777106720E0
3.148456840E-1,-1.166501045E-1,-5.748756528E-1,9.733703613E0,9.751362740E0
3.172926630E-1,-1.094716340E-1,-5.653043389E-1,9.743274689E0,9.760274314E0
3.197379760E-1,-1.262213886E-1,-5.772684813E-1,9.762416840E0,9.780283906E0
3.221841740E-1,-1.405783296E-1,-5.748756528E-1,9.750452995E0,9.768396895E0
3.246311530E-1,-1.214357466E-1,-5.748756528E-1,9.760024071E0,9.777693926E0
3.270765170E-1,-1.070788130E-1,-5.581258535E-1,9.776774406E0,9.793277701E0
3.295227150E-1,-1.214357466E-1,-5.413761139E-1,9.752845764E0,9.768614806E0
3.319689130E-1,-1.022931710E-1,-5.629115105E-1,9.783952713E0,9.800666505E0
3.344151110E-1,-1.022931710E-1,-5.509474277E-1,9.762416840E0,9.778486054E0
3.368620380E-1,-1.214357466E-1,-5.700899959E-1,9.736096382E0,9.753528695E0
3.393074030E-1,-1.190429255E-1,-5.748756528E-1,9.728918076E0,9.746614805E0
3.417536010E-1,-1.070788130E-1,-5.365904570E-1,9.743274689E0,9.758626791E0
3.442005800E-1,-1.357926875E-1,-5.341976285E-1,9.757631302E0,9.773186552E0
3.466459440E-1,-1.046859920E-1,-5.557330847E-1,9.738489151E0,9.754894636E0
3.490921420E-1,-9.272187948E-2,-5.653043389E-1,9.752845764E0,9.769655411E0
3.515383400E-1,-9.272187948E-2,-5.485545993E-1,9.748060226E0,9.763922761E0
3.539844340E-1,-1.046859920E-1,-5.605186820E-1,9.738489151E0,9.755168440E0
3.564314650E-1,-8.315058798E-2,-5.461617708E-1,9.755238533E0,9.770869231E0
3.588768300E-1,-9.511470050E-2,-5.533402562E-1,9.762416840E0,9.778548706E0
3.613230280E-1,-1.070788130E-1,-5.365904570E-1,9.769596100E0,9.784906905E0
3.637700070E-1,-1.094716340E-1,-5.437689424E-1,9.760024071E0,9.775773042E0
3.662153190E-1,-9.272187948E-2,-5.485545993E-1,9.740881920E0,9.756756124E0
3.686615690E-1,-8.793623000E-2,-5.485545993E-1,9.740881920E0,9.756711818E0
3.711077670E-1,-9.750752151E-2,-5.461617708E-1,9.757631302E0,9.773390866E0
3.735538610E-1,-1.094716340E-1,-5.461617708E-1,9.760024071E0,9.775906433E0
3.760008920E-1,-9.750752151E-2,-5.294120312E-1,9.757631302E0,9.772469158E0
3.784462570E-1,-1.166501045E-1,-5.485545993E-1,9.776774406E0,9.792846225E0
3.808924550E-1,-9.272187948E-2,-5.389832854E-1,9.757631302E0,9.772945766E0
3.833394340E-1,-1.118644550E-1,-5.437689424E-1,9.757631302E0,9.773411223E0
3.857847460E-1,-1.046859920E-1,-5.413761139E-1,9.783952713E0,9.799478453E0
3.882309960E-1,-1.310070455E-1,-5.198407173E-1,9.748060226E0,9.762790349E0
3.906771940E-1,-1.070788130E-1,-5.461617708E-1,9.745667458E0,9.761546637E0
3.931232880E-1,-1.166501045E-1,-5.509474277E-1,9.745667458E0,9.761925246E0
3.955703190E-1,-1.238285750E-1,-5.581258535E-1,9.752845764E0,9.769587426E0
3.980156320E-1,-1.142572835E-1,-5.509474277E-1,9.760024071E0,9.776229726E0
4.004618820E-1,-1.214357466E-1,-5.509474277E-1,9.769596100E0,9.785872351E0
4.029088610E-1,-9.750752151E-2,-5.341976285E-1,9.752845764E0,9.767951439E0
4.053541740E-1,-1.070788130E-1,-5.485545993E-1,9.760024071E0,9.776013906E0
4.078004240E-1,-1.142572835E-1,-5.461617708E-1,9.755238533E0,9.771183462E0
4.102465170E-1,-1.166501045E-1,-5.629115105E-1,9.745667458E0,9.762607787E0
4.126927670E-1,-1.094716340E-1,-5.557330847E-1,9.752845764E0,9.769279595E0
4.151397460E-1,-1.046859920E-1,-5.557330847E-1,9.748060226E0,9.764449631E0
4.175850590E-1,-1.070788130E-1,-5.413761139E-1,9.781559944E0,9.797115336E0
4.200313090E-1,-1.357926875E-1,-5.461617708E-1,9.764810562E0,9.781015165E0
4.224782880E-1,-1.238285750E-1,-5.413761139E-1,9.745667458E0,9.761478157E0
4.249236010E-1,-1.453639716E-1,-5.509474277E-1,9.752845764E0,9.769476662E0
4.273698510E-1,-1.310070455E-1,-5.629115105E-1,9.757631302E0,9.774732776E0
4.298159440E-1,-1.381855011E-1,-5.724828243E-1,9.781559944E0,9.799272767E0
4.322621940E-1,-1.214357466E-1,-5.557330847E-1,9.769596100E0,9.786142951E0
4.347091740E-1,-1.453639716E-1,-5.844469070E-1,9.748060226E0,9.766646664E0
4.371544860E-1,-1.238285750E-1,-5.533402562E-1,9.764810562E0,9.781259851E0
4.396007360E-1,-1.405783296E-1,-5.581258535E-1,9.769596100E0,9.786535377E0
4.420477150E-1,-1.405783296E-1,-5.581258535E-1,9.769596100E0,9.786535377E0
4.444930280E-1,-1.190429255E-1,-5.748756528E-1,9.760024071E0,9.777664501E0
4.469392780E-1,-1.429711580E-1,-5.676971674E-1,9.748060226E0,9.765623329E0
4.493853710E-1,-1.094716340E-1,-5.748756528E-1,9.757631302E0,9.775164177E0
4.518316210E-1,-1.333998591E-1,-5.772684813E-1,9.731310844E0,9.749330499E0
4.542786010E-1,-1.525424421E-1,-5.820540786E-1,9.769596100E0,9.788108300E0
4.567239130E-1,-1.501496136E-1,-5.700899959E-1,9.779167175E0,9.796920851E0
4.591701630E-1,-1.381855011E-1,-5.653043389E-1,9.769596100E0,9.786913312E0
4.616171420E-1,-1.118644550E-1,-5.700899959E-1,9.767203331E0,9.784466116E0
4.640624550E-1,-1.405783296E-1,-5.820540786E-1,9.769596100E0,9.787929156E0
4.665087050E-1,-1.118644550E-1,-5.820540786E-1,9.748060226E0,9.766062604E0
4.689547990E-1,-1.142572835E-1,-5.700899959E-1,9.762416840E0,9.779715736E0
4.714010490E-1,-1.310070455E-1,-5.700899959E-1,9.757631302E0,9.775148801E0
4.738480280E-1,-1.094716340E-1,-5.844469070E-1,9.748060226E0,9.766178393E0
4.762933400E-1,-1.214357466E-1,-5.700899959E-1,9.762416840E0,9.779802237E0
4.787395900E-1,-1.070788130E-1,-5.509474277E-1,9.767203331E0,9.783315892E0
4.811865690E-1,-1.046859920E-1,-5.605186820E-1,9.769596100E0,9.786222371E0
4.836318820E-1,-1.142572835E-1,-5.653043389E-1,9.750452995E0,9.767494937E0
4.860780800E-1,-9.990034252E-2,-5.629115105E-1,9.769596100E0,9.786309693E0
4.885242780E-1,-1.070788130E-1,-5.533402562E-1,9.760024071E0,9.776283607E0
4.909704760E-1,-9.750752151E-2,-5.509474277E-1,9.771988869E0,9.787993524E0
4.934174550E-1,-8.793623000E-2,-5.557330847E-1,9.738489151E0,9.754729263E0
4.958627670E-1,-1.094716340E-1,-5.581258535E-1,9.745667458E0,9.762249879E0
4.983090170E-1,-1.094716340E-1,-5.485545993E-1,9.745667458E0,9.761707350E0
5.007559440E-1,-9.032905847E-2,-5.700899959E-1,9.748060226E0,9.765133902E0
5.032013090E-1,-1.070788130E-1,-5.629115105E-1,9.760024071E0,9.776830013E0
5.056475070E-1,-1.046859920E-1,-5.581258535E-1,9.767203331E0,9.783696875E0
5.080937050E-1,-8.315058798E-2,-5.461617708E-1,9.757631302E0,9.773258173E0
5.105399030E-1,-1.094716340E-1,-5.533402562E-1,9.740881920E0,9.757199909E0
5.129868300E-1,-9.990034252E-2,-5.413761139E-1,9.738489151E0,9.754037068E0
5.154321940E-1,-9.511470050E-2,-5.629115105E-1,9.760024071E0,9.776706298E0
5.178783920E-1,-8.793623000E-2,-5.485545993E-1,9.757631302E0,9.773434072E0
5.203253710E-1,-1.070788130E-1,-5.485545993E-1,9.760024071E0,9.776013906E0
5.227707360E-1,-1.070788130E-1,-5.557330847E-1,9.760024071E0,9.776419334E0
5.252169340E-1,-1.118644550E-1,-5.629115105E-1,9.740881920E0,9.757774521E0
5.276631320E-1,-1.046859920E-1,-5.533402562E-1,9.755238533E0,9.771480104E0
5.301092260E-1,-9.032905847E-2,-5.485545993E-1,9.740881920E0,9.756733678E0
5.325562570E-1,-1.046859920E-1,-5.629115105E-1,9.745667458E0,9.762472162E0
5.350016210E-1,-1.190429255E-1,-5.437689424E-1,9.740881920E0,9.756773875E0
5.374478190E-1,-1.166501045E-1,-5.509474277E-1,9.748060226E0,9.764314031E0
5.398947990E-1,-1.094716340E-1,-5.437689424E-1,9.752845764E0,9.768606308E0
5.423401630E-1,-1.094716340E-1,-5.389832854E-1,9.755238533E0,9.770730058E0
5.447863610E-1,-1.166501045E-1,-5.485545993E-1,9.757631302E0,9.773734599E0
5.472325590E-1,-1.118644550E-1,-5.389832854E-1,9.750452995E0,9.765979226E0
5.496786530E-1,-9.990034252E-2,-5.389832854E-1,9.760024071E0,9.775405512E0
5.521256840E-1,-1.262213886E-1,-5.365904570E-1,9.740881920E0,9.756466662E0
5.545710490E-1,-1.190429255E-1,-5.270192027E-1,9.762416840E0,9.777356647E0
5.570172460E-1,-1.142572835E-1,-5.437689424E-1,9.752845764E0,9.768661110E0
5.594642260E-1,-1.214357466E-1,-5.581258535E-1,9.769596100E0,9.786279122E0
5.619095900E-1,-1.190429255E-1,-5.365904570E-1,9.760024071E0,9.775488243E0
5.643557880E-1,-1.190429255E-1,-5.653043389E-1,9.757631302E0,9.774717839E0
5.668019860E-1,-1.214357466E-1,-5.533402562E-1,9.779167175E0,9.795562399E0
5.692480800E-1,-1.166501045E-1,-5.629115105E-1,9.760024071E0,9.776939525E0
5.716951110E-1,-1.142572835E-1,-5.389832854E-1,9.731310844E0,9.746895324E0
5.741404240E-1,-1.238285750E-1,-5.485545993E-1,9.779167175E0,9.795323185E0
